,Q21,Q22,Q23,Q24,Q25,Q26,Q28,Q29,Q30,Q31,tweet,value
116,31-40,Male,Master's degree,Employee,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Very concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
117,41-50,Female,Bachelor's degree,Employee,Agree,Agree,Agree,Agree,Agree,Very concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,3.0
118,41-50,Female,Master's degree,Self-employed,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,4.0
119,26-30,Female,Bachelor's degree,Employee,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Somewhat concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,2.0
120,31-40,Male,Bachelor's degree,Self-employed,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Somewhat concerned,hold up she wanted to say something I will let her type  hello world my name is meleay auntie's silliest BABY BUT TO TELL THE TRUTH IM ACTUALLY 8 YEARS OLD WOW well i just wanted to say hi people of twitter. Keep on tweeting mel out.,4.0
121,31-40,Female,Bachelor's degree,Employee,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Very concerned,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",5.0
122,41-50,Male,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Very concerned,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",2.0
123,41-50,Female,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Agree,Agree,Somewhat concerned,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",4.0
124,41-50,Female,Bachelor's degree,Employee,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat concerned,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",3.0
125,41-50,Female,Bachelor's degree,Self-employed,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Somewhat concerned,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",3.0
126,41-50,Female,Bachelor's degree,Self-employed,Agree,Strongly agree,Neither agree nor disagree,Agree,Strongly Disagree,Very concerned,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",5.0
127,31-40,Male,Master's degree,Self-employed,Strongly agree,Agree,Agree,Agree,Agree,Somewhat concerned,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",3.0
128,31-40,Male,Bachelor's degree,Employee,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Very concerned,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",4.0
129,51-60,Female,Master's degree,Employee,Strongly agree,Agree,Strongly agree,Disagree,Disagree,Very concerned,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",2.0
130,26-30,Female,Bachelor's degree,Employee,Agree,Agree,Disagree,Disagree,Agree,Somewhat concerned,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",1.0
131,31-40,Male,Bachelor's degree,Self-employed,Strongly agree,Agree,Agree,Agree,Agree,A little concerned,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",4.0
132,51-60,Female,Associate degree,Self-employed,Strongly agree,Agree,Disagree,Agree,Agree,Very concerned,"Look, okay, if the partner and I stick to naming eligible kids after grandmothers its Dorothy, Hermione, or Ariel so blame my greatgrandparents. .",1.0
133,26-30,Male,Bachelor's degree,Employee,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,A little concerned,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,3.0
134,41-50,Female,Bachelor's degree,Employee,Strongly agree,Agree,Agree,Agree,Agree,Somewhat concerned,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,3.0
135,26-30,Male,Bachelor's degree,Self-employed,Agree,Strongly agree,Agree,Strongly agree,Agree,A little concerned,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,1.0
136,41-50,Female,Bachelor's degree,Self-employed,Agree,Agree,Neither agree nor disagree,Agree,Agree,A little concerned,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,2.0
137,31-40,Male,Master's degree,Employee,Strongly agree,Agree,Agree,Strongly agree,Agree,Very concerned,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,3.0
138,26-30,Female,High school graduate with diploma,Employee,Agree,Agree,Agree,Agree,Agree,A little concerned,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,2.0
139,31-40,Male,Master's degree,Employee,Strongly agree,Agree,Agree,Strongly agree,Agree,Very concerned,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,4.0
140,26-30,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Agree,Neither agree nor disagree,A little concerned,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,3.0
141,18-25,Female,High school graduate with diploma,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat concerned,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,3.0
142,26-30,Female,Bachelor's degree,Self-employed,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,A little concerned,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,4.0
143,31-40,Female,"8th Up to 12th grade, no diploma",Out of work and looking for work,Strongly agree,Strongly agree,Agree,Disagree,Neither agree nor disagree,A little concerned,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,2.0
144,26-30,Male,Bachelor's degree,Employee,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Very concerned,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,1.0
145,41-50,Male,Master's degree,Employee,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Somewhat concerned,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,3.0
146,41-50,Female,Master's degree,Employee,Agree,Agree,Strongly agree,Agree,Strongly agree,Very concerned,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,3.0
147,31-40,Female,Master's degree,Employee,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Very concerned,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,5.0
148,26-30,Female,Bachelor's degree,Employee,Agree,Agree,Agree,Agree,Agree,A little concerned,Couldn't be happier for incredible whose book is published in 2022. I've believed in this book  the show that came before it since How To Leave Your Psychopath was notes over a coffee in a bar in Paddington Love it when good things happen to wonderful people  .,3.0
149,26-30,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Disagree,Agree,Very concerned,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,4.0
150,26-30,Female,Bachelor's degree,Self-employed,Agree,Strongly agree,Agree,Agree,Agree,A little concerned,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,1.0
151,18-25,Male,Associate degree,Employee,Agree,Agree,Neither agree nor disagree,Agree,Agree,Very concerned,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,3.0
152,31-40,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Very concerned,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,3.0
153,18-25,Male,Bachelor's degree,Employee,Strongly agree,Strongly agree,Agree,Neither agree nor disagree,Agree,A little concerned,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,3.0
154,31-40,Male,Bachelor's degree,Employee,Agree,Agree,Agree,Agree,Agree,Somewhat concerned,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,3.0
155,18-25,Female,High school graduate with diploma,Employee,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat concerned,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,4.0
156,31-40,Male,Master's degree,Employee,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Very concerned,is it supposed to be real treasure i really need to not shitpost while i'm still working on my coffee.,5.0
